,Name,Sex,DOB,Year,Eye Color,Hair Color,Distinctive Features,Height,Weight,Zodiac Sign,Tattoo Body Art
0,Jamie Dornan,Male,5/1/1982,1982,Blue,Brown,Eyes,6,170,Taurus,No
1,Keira Knightley,Female,3/26/1985,1985,Brown,Brown,Eyes,5.7,119,Aries,No
2,Chris Evans,Male,6/13/1981,1981,Blue,Brown,Muscular,6,176.5,Gemini,Yes
3,Felicity Jones,Female,10/17/1983,1983,Green,Brown,Teeth,5.3,121,Libra,No
4,Jonathan Rhys Meyers,Male,7/27/1977,1977,Blue,Brown,Eyes,5.9,159,Leo,Yes
5,Megan Fox,Female,5/16/1986,1986,Blue,Brown,Eyes,5.4,114,Taurus,Yes
6,Alexander Dreymon,Male,2/7/1983,1983,Blue,Brown,Eyes,5.1,172,Aquarius,No
7,Monroe Hayden,Female,11/8/1988,1988,Gray,Brown,Eyes,5.4,114,Scorpio,No
8,Douglas Booth,Male,7/9/1992,1992,Hazel,Brown,Jawline,6.1,170,Cancer,Yes
9,Kristin Kreuk,Female,12/30/1982,1982,Hazel,Brown,Eyes,5.4,115,Capricorn,No
10,Colin Farrell,Male,5/31/1976,1976,Brown,Brown,Eyebrows,5.1,176,Gemini,Yes
11,Katie Cassidy,Female,11/25/1986,1986,Green,Blond,Lips,5.6,119,Sagittarius,Yes
12,Alex Pettyfer,Male,4/10/1990,1990,Green,Blond,Body,5.11,174,Aries,Yes
13,Anna Kendrick,Female,8/9/1985,1985,Blue,Brown,Smile,5.2,106,Leo,No
14,Jeffrey Dean Morgan,Male,4/22/1966,1966,Hazel,Gray,Hair,6.2,183,Taurus,Yes
15,Jennifer Lawrence,Female,8/15/1990,1990,Blue,Blond,Smile,5.9,139,Leo,Yes
16,Liam Hemsworth,Male,1/13/1990,1990,Blue,Blond,Body,6.3,196,Capricorn,Yes
17,Emma Stone,Female,11/6/1988,1988,Green,Blond,Hair,5.6,115,Scorpio,Yes
18,Frank Dillane,Male,4/21/1991,1991,Brown,Brown,Hair,5.11,163,Taurus,Yes
19,Katie McGrath,Female,10/24/1983,1983,Green,Brown,Teeth,5.5,135,Scorpio,Yes
20,Tom Cruise,Male,7/3/1962,1962,Green,Brown,Teeth,5.7,148,Cancer,No
21,Sarah Paulson,Female,12/17/1974,1974,Brown,Blond,Voice,5.6,119,Sagittarius,Yes
22,Keanu Reeves,Male,9/2/1964,1964,Hazel,Black,Eyes,6.1,185,Virgo,No
23,Cameron Diaz,Female,8/30/1972,1972,Blue,Blond,Legs,5.9,128,Virgo,No
24,George Clooney,Male,5/6/1961,1961,Brown,Gray,Hair,5.11,172,Taurus,No
25,Audrey Hepburn,Female,5/4/1929,1929,Hazel,Brown,Hair,5.7,119,Taurus,No
26,Grace Kelly,Female,11/12/1929,1929,Blue,Blond,Hair,5.6,121,Scorpio,No
27,Elizabeth Taylor,Female,2/27/1932,1932,Blue,Black,Eyes,5.4,183,Pisces,No
28,Marlon Brando,Male,4/3/1924,1924,Blue,Brown,Jawline,5.9,242,Aries,No
29,James Dean,Male,2/8/1931,1931,Blue,Brown,Jawline,5.7,139,Aquarius,No
