,Name,Sex,DOB,Birth Year,Eye Color,Hair Color,Distinctive Features,Height(ft),Weight(lbs),Zodiac Sign,Tattoo Body Art,Hot test
0,Clint Howard,Male,4/20/1959,1959,Blue,Gray,Teeth,5.7,165.0,Taurus,No,1
1,Linda Hunt,Female,04/02/1945,1945,Blue,Brown,Height,4.9,143.0,Aquarius,No,1
2,Mick Jagger,Male,07/26/1943,1943,Blue,Brown,Lips,5.1,161.0,Leo,No,1
3,Jay-Z,Male,12/04/1969,1969,Black,Black,Lips,6.2,183.0,Sagittarius,Yes,1
4,Caitlyn Jenner,Female,10/28/1949,1949,Brown,Brown,Muscular,6.2,194.0,Scorpio,No,1
5,Caleb Landry Jones,Male,12/07/1989,1989,Blue,Red,Cheekbones,5.11,143.0,Sagittarius,No,1
6,Kelis,Female,08/21/1979,1979,Brown,Brown,Hair,5.9,139.0,Leo,Yes,1
7,Barry Keoghan,Male,10/18/1992,1992,Blue,Black,Eyes,5.6,159.0,Libra,No,1
8,Wiz Khalifa,Male,09/08/1987,1987,Brown,Black,Teeth,6.4,172.0,Virgo,Yes,1
9,Salman Khan,Male,12/27/1965,1965,Brown,Black,Muscular,5.8,194.0,Capricorn,No,1
10,Stephen King,Male,09/21/1947,1947,Blue,Gray,Lips,6.4,165.0,Virgo,No,1
11,Lisa Lampanelli,Female,07/19/1961,1961,Brown,Blond,Chin,5.7,141.0,Sagittarius,Yes,1
12,Tomas Lemarquis,Male,08/03/1977,1977,Blue,Bald,Skin,5.9,174.0,Leo,Yes,1
13,Amanda Lepore,Female,11/21/1967,1967,Brown,Blond,Lips,5.2,110.0,Scorpio,No,1
14,Lorde,Female,11/07/1996,1996,Blue,Brown,Hair,5.5,134.0,Scorpio,No,1
15,Lyle Lovett,Male,11/1/1957,1957,Brown,Blond,Lips,6.0,171.0,Scorpio,No,1
16,Matt Lucas,Male,05/05/1974,1974,Hazel,Bald,Skin,5.6,185.0,Pisces,No,1
17,Shane Macgowan,Male,12/25/1957,1957,Blue,Gray,Teeth,5.9,115.0,Capricorn,No,1
18,William H Macy,Male,03/13/1950,1950,Green,Brown,Smile,5.8,159.0,Pisces,No,1
19,John Malkovich,Male,12/9/1953,1953,Hazel,Gray,Chin,6.0,172.0,Sagittarius,No,1
20,Marilyn Manson,Male,01/05/1969,1969,Hazel,Black,Lips,6.1,181.0,Capricorn,No,1
21,Biz Markie,Male,04/08/1964,1964,Brown,Brown,Teeth,6.3,220.0,Aries,Yes,1
22,Eddie Marsan,Male,06/09/1968,1968,Green,Gray,Cheeks,5.8,150.0,Gemini,No,1
23,Heather Matarazzo,Female,11/10/1982,1982,Blue,Brown,Teeth,5.4,121.0,Scorpio,No,1
24,Jack McBrayer,Male,05/27/1973,1973,Blue,Brown,Smile,5.1,172.0,Gemini,No,1
